"","Approved Symbol","Protein_Name","Chromosome","Chromosome band","UniProt ID(supplied by UniProt)","arm"
"228","ACRV1","ACRV1","11","11q24.2","P26436","q"
"229","ACSBG1","ACSBG1","15","15q25.1","Q96GR2","q"
"230","ACSBG2","ACSBG2","19","19p13.3","Q5FVE4","p"
"231","ACSF2","ACSF2","17","17q21.33","Q96CM8","q"
"232","ACSF3","ACSF3","16","16q24.3","Q4G176","q"
"233","ACSL1","ACSL1","4","4q35.1","P33121","q"
"234","ACSL3","ACSL3","2","2q36.1","O95573","q"
"235","ACSL4","ACSL4","X","Xq23","O60488","q"
"236","ACSL5","ACSL5","10","10q25.2","Q9ULC5","q"
"237","ACSL6","ACSL6","5","5q31.1","Q9UKU0","q"
"238","ACSM1","ACSM1","16","16p12.3","Q08AH1","p"
"239","ACSM2A","ACSM2A","16","16p12.3","Q08AH3","p"
"240","ACSM2B","ACSM2B","16","16p12.3","Q68CK6","p"
"241","ACSM3","ACSM3","16","16p12.3","Q53FZ2","p"
"242","ACSM4","ACSM4","12","12p13.31","P0C7M7","p"
"243","ACSM5","ACSM5","16","16p12.3","Q6NUN0","p"
"244","ACSM5P1","ACSM5P1","16","16p12.3",NA,"p"
"245","ACSM6","C10orf12","10","10q23.33","Q6P461","q"
"246","ACSS1","ACSS1","20","20p11.21","Q9NUB1","p"
"247","ACSS2","ACSS2","20","20q11.22","Q9NR19","q"
"248","ACSS3","ACSS3","12","12q21.31","Q9H6R3","q"
"249","ACTA1","ACTA1","1","1q42.13","P68133","q"
"250","ACTA2","ACTA2","10","10q23.31","P62736","q"
"251","ACTA2-AS1","ACTA2-AS1","10","10q23.31",NA,"q"
"252","ACTB","ACTB","7","7p22.1","P60709","p"
"253","ACTBL2","ACTBL2","5","5q11.2","Q562R1","q"
"254","ACTBP1","ACTBP1","X","Xp11.3",NA,"p"
"255","ACTBP2","ACTBP10","5","5q14.1",NA,"q"
"256","ACTBP3","ACTBP11","18","18q21.33",NA,"q"
"257","ACTBP4","ACTBP12","5","5q23.3",NA,"q"
"258","ACTBP6","ACTBP13","8","8q21.2",NA,"q"
"259","ACTBP7","ACTBP14","15","15q15.3",NA,"q"
"260","ACTBP8","ACTBP2","6","6q15",NA,"q"
"261","ACTBP9","ACTBP3","18","18q21.33",NA,"q"
"262","ACTBP10","ACTBP4","14","14q11.2",NA,"q"
"263","ACTBP11","ACTBP6","1","1q41",NA,"q"
"264","ACTBP12","ACTBP7","1","1p22.1",NA,"p"
"265","ACTBP13","ACTBP8","3","3p21.31",NA,"p"
"266","ACTBP14","ACTBP9","10","10q22.1",NA,"q"
"267","ACTC1","ACTC1","15","15q14","P68032","q"
"268","ACTG1","ACTG1","17","17q25.3","P63261","q"
"269","ACTG1P1","ACTG1P1","3","3q23",NA,"q"
"270","ACTG1P2","ACTG1P10","Y","Yq11.222",NA,"q"
"271","ACTG1P3","ACTG1P11","20","20p13",NA,"p"
"272","ACTG1P4","ACTG1P12","1","1p21.1",NA,"p"
"273","ACTG1P6","ACTG1P13","1","1p21",NA,"p"
"274","ACTG1P7","ACTG1P14","1","1p21",NA,"p"
"275","ACTG1P8","ACTG1P15","1","1p21",NA,"p"
"276","ACTG1P9","ACTG1P16","6","6p12.3",NA,"p"
"277","ACTG1P10","ACTG1P17","X","Xp11.22",NA,"p"
"278","ACTG1P11","ACTG1P18","Y","Yq11.222",NA,"q"
"279","ACTG1P12","ACTG1P19","3","3p25.2",NA,"p"
"280","ACTG1P13","ACTG1P2","3","3q12.1",NA,"q"
"281","ACTG1P14","ACTG1P20","9","9p24.1",NA,"p"
"282","ACTG1P15","ACTG1P21","15","15q14",NA,"q"
"283","ACTG1P16","ACTG1P22","16","16q12.1",NA,"q"
"284","ACTG1P17","ACTG1P23","15","15q25.2",NA,"q"
"285","ACTG1P18","ACTG1P24","6","6q16.3",NA,"q"
"286","ACTG1P19","ACTG1P3","9","9q31.1",NA,"q"
"287","ACTG1P20","ACTG1P4","1","1p36.11",NA,"p"
"288","ACTG1P21","ACTG1P6","1","1p31.1",NA,"p"
"289","ACTG1P22","ACTG1P7","2","2p16.1",NA,"p"
"290","ACTG1P23","ACTG1P8","3","3q26.31",NA,"q"
"291","ACTG1P24","ACTG1P9","17","17p11.2",NA,"p"
"292","ACTG2","ACTG2","2","2p13.1","P63267","p"
"293","ACTL6A","ACTL10","3","3q26.33","O96019","q"
"294","ACTL6B","ACTL6A","7","7q22.1","O94805","q"
"295","ACTL7A","ACTL6B","9","9q31.3","Q9Y615","q"
"296","ACTL7B","ACTL7A","9","9q31.3","Q9Y614","q"
"297","ACTL8","ACTL7B","1","1p36.13","Q9H568","p"
"298","ACTL9","ACTL8","19","19p13.2","Q8TC94","p"
"299","ACTL10","ACTL9","20","20q11.22","Q5JWF8","q"
"300","ACTN1","ACTN1","14","14q24.1","P12814","q"
"301","ACTN1-AS1","ACTN1-AS1","14","14q24.1",NA,"q"
"302","ACTN2","ACTN2","1","1q43","P35609","q"
"303","ACTN3","ACTN3","11","11q13.2","Q08043","q"
"304","ACTN4","ACTN4","19","19q13.2","O43707","q"
"305","ACTN4P1","ACTN4P1","4","4q26",NA,"q"
"306","ACTN4P2","ACTN4P2","1","1p34.3",NA,"p"
"307","ACTP1","ACTP1","2","2q12.3",NA,"q"
"308","ACTR1A","ACTR10","10","10q24.32","P61163","q"
"309","ACTR1B","ACTR1A","2","2q11.2","P42025","q"
"310","ACTR2","ACTR1B","2","2p14","P61160","p"
"311","ACTR3","ACTR2","2","2q14.1","P61158","q"
"312","ACTR3B","ACTR3","7","7q36.1-q36.2","Q9P1U1","q"
"313","ACTR3BP1","ACTR3B","Y","Yq11.21",NA,"q"
"314","ACTR3BP2","ACTR3BP1","2","2p11.1",NA,"p"
"315","ACTR3BP3","ACTR3BP2","16","16p11.2",NA,"p"
"316","ACTR3BP4","ACTR3BP3","4","4q24",NA,"q"
"317","ACTR3BP5","ACTR3BP4","10","10p11.1",NA,"p"
"318","ACTR3BP6","ACTR3BP5","22","22q11.1",NA,"q"
"319","ACTR3C","ACTR3BP6","7","7q36.1","Q9C0K3","q"
"320","ACTR3P1","ACTR3C","14","14q11.2",NA,"q"
"321","ACTR3P2","ACTR3P1","X","Xq13.1",NA,"q"
"322","ACTR3P3","ACTR3P2","3","3q12.2",NA,"q"
"323","ACTR5","ACTR3P3","20","20q11.23","Q9H9F9","q"
"324","ACTR6","ACTR5","12","12q23.1","Q9GZN1","q"
"325","ACTR6P1","ACTR6","4","4q25",NA,"q"
"326","ACTR8","ACTR6P1","3","3p21.1","Q9H981","p"
"327","ACTR10","ACTR8","14","14q23.1","Q9NZ32","q"
"328","ACTRT1","ACTRT1","X","Xq25","Q8TDG2","q"
"329","ACTRT2","ACTRT2","1","1p36.32","Q8TDY3","p"
"330","ACTRT3","ACTRT3","3","3q26.2","Q9BYD9","q"
"331","ACVR1","ACVR1","2","2q24.1","Q04771","q"
"332","ACVR1B","ACVR1B","12","12q13.13","P36896","q"
"333","ACVR1C","ACVR1C","2","2q24.1","Q8NER5","q"
"334","ACVR2A","ACVR2A","2","2q22.3-q23.1","P27037","q"
"335","ACVR2B","ACVR2B","3","3p22.2","Q13705","p"
"336","ACVR2B-AS1","ACVR2B-AS1","3","3p22.2",NA,"p"
"337","ACVRL1","ACVRL1","12","12q13.13","P37023","q"
"338","ACY1","ACY1","3","3p21.2","Q03154","p"
"339","ACY3","ACY3","11","11q13.2","Q96HD9","q"
"340","ACYP1","ACYP1","14","14q24.3","P07311","q"
"341","ACYP2","ACYP2","2","2p16.2","P14621","p"
"342","AD5","AD5","12","12p11.23-q13.12",NA,"q"
"343","ADA","ADA","20","20q13.12","P00813","q"
"344","ADA2","ADA2","22","22q11.1","Q9NZK5","q"
"345","ADAD1","ADAD1","4","4q27","Q96M93","q"
"346","ADAD1P1","ADAD1P1","3","3p22.2",NA,"p"
"347","ADAD1P2","ADAD1P2","18","18q21.1",NA,"q"
"348","ADAD2","ADAD2","16","16q24.1","Q8NCV1","q"
"349","ADAL","ADAL","15","15q15.3","Q6DHV7","q"
"350","ADAM1A","ADAM10","12","12q24.12-q24.13",NA,"q"
"351","ADAM1B","ADAM11","12","12q24.13",NA,"q"
"352","ADAM2","ADAM12","8","8p11.22","Q99965","p"
"353","ADAM3A","ADAM15","8","8p11.22",NA,"p"
"354","ADAM3B","ADAM17","16","16q12.1",NA,"q"
"355","ADAM5","ADAM18","8","8p11.22","Q6NVV9","p"
"356","ADAM6","ADAM19","14","14q32.33",NA,"q"
"357","ADAM7","ADAM1A","8","8p21.2","Q9H2U9","p"
"358","ADAM8","ADAM1B","10","10q26.3","P78325","q"
"359","ADAM9","ADAM2","8","8p11.22","Q13443","p"
"360","ADAM10","ADAM20","15","15q21.3","O14672","q"
"361","ADAM11","ADAM20P1","17","17q21.31","O75078","q"
"362","ADAM12","ADAM20P2","10","10q26.2","O43184","q"
"363","ADAM15","ADAM20P3","1","1q21.3","Q13444","q"
"364","ADAM17","ADAM21","2","2p25.1","P78536","p"
"365","ADAM18","ADAM21P1","8","8p11.22","Q9Y3Q7","p"
"366","ADAM19","ADAM22","5","5q33.3","Q9H013","q"
"367","ADAM20","ADAM23","14","14q24.2","O43506","q"
"368","ADAM20P1","ADAM24P","14","14q24.2",NA,"q"
"369","ADAM20P2","ADAM28","4","4q34.2",NA,"q"
"370","ADAM20P3","ADAM29","4","4q35.2",NA,"q"
"371","ADAM21","ADAM30","14","14q24.2","Q9UKJ8","q"
"372","ADAM21P1","ADAM32","14","14q24.2",NA,"q"
"373","ADAM22","ADAM33","7","7q21.12","Q9P0K1","q"
"374","ADAM23","ADAM3A","2","2q33.3","O75077","q"
"375","ADAM24P","ADAM3B","8","8p22",NA,"p"
"376","ADAM28","ADAM5","8","8p21.2","Q9UKQ2","p"
"377","ADAM29","ADAM6","4","4q34.1","Q9UKF5","q"
"378","ADAM30","ADAM7","1","1p12","Q9UKF2","p"
"379","ADAM32","ADAM8","8","8p11.22","Q8TC27","p"
"380","ADAM33","ADAM9","20","20p13","Q9BZ11","p"
"381","ADAMDEC1","ADAMDEC1","8","8p21.2","O15204","p"
"382","ADAMTS1","ADAMTS1","21","21q21.3","Q9UHI8","q"
"383","ADAMTS2","ADAMTS10","5","5q35.3","O95450","q"
"384","ADAMTS3","ADAMTS12","4","4q13.3","O15072","q"
"385","ADAMTS4","ADAMTS13","1","1q23.3","O75173","q"
"386","ADAMTS5","ADAMTS14","21","21q21.3","Q9UNA0","q"
"387","ADAMTS6","ADAMTS15","5","5q12.3","Q9UKP5","q"
"388","ADAMTS7","ADAMTS16","15","15q25.1","Q9UKP4","q"
"389","ADAMTS7P1","ADAMTS17","15","15q25.2",NA,"q"
"390","ADAMTS7P3","ADAMTS18","15","15q24.3",NA,"q"
"391","ADAMTS7P4","ADAMTS19","15","15q25.3",NA,"q"
"392","ADAMTS8","ADAMTS19-AS1","11","11q24.3","Q9UP79","q"
"393","ADAMTS9","ADAMTS2","3","3p14.1","Q9P2N4","p"
"394","ADAMTS9-AS1","ADAMTS20","3","3p14.1",NA,"p"
"395","ADAMTS9-AS2","ADAMTS3","3","3p14.1",NA,"p"
"396","ADAMTS10","ADAMTS4","19","19p13.2","Q9H324","p"
"397","ADAMTS12","ADAMTS5","5","5p13.3-p13.2","P58397","p"
"398","ADAMTS13","ADAMTS6","9","9q34.2","Q76LX8","q"
"399","ADAMTS14","ADAMTS7","10","10q22.1","Q8WXS8","q"
"400","ADAMTS15","ADAMTS7P1","11","11q24.3","Q8TE58","q"
"401","ADAMTS16","ADAMTS7P3","5","5p15.32","Q8TE57","p"
"402","ADAMTS17","ADAMTS7P4","15","15q26.3","Q8TE56","q"
"403","ADAMTS18","ADAMTS8","16","16q23.1","Q8TE60","q"
"404","ADAMTS19","ADAMTS9","5","5q23.3","Q8TE59","q"
"405","ADAMTS19-AS1","ADAMTS9-AS1","5","5q23.3",NA,"q"
"406","ADAMTS20","ADAMTS9-AS2","12","12q12","P59510","q"
"407","ADAMTSL1","ADAMTSL1","9","9p22.2-p22.1","Q8N6G6","p"
"408","ADAMTSL2","ADAMTSL2","9","9q34.2","Q86TH1","q"
"409","ADAMTSL3","ADAMTSL3","15","15q25.2","P82987","q"
"410","ADAMTSL4","ADAMTSL4","1","1q21.2","Q6UY14","q"
"411","ADAMTSL4-AS1","ADAMTSL4-AS1","1","1q21.2","Q5T5F5","q"
"412","ADAMTSL5","ADAMTSL5","19","19p13.3","Q6ZMM2","p"
"413","ADAP1","ADAP1","7","7p22.3","O75689","p"
"414","ADAP2","ADAP2","17","17q11.2","Q9NPF8","q"
"415","ADAR","ADAR","1","1q21.3","P55265","q"
"416","ADARB1","ADARB1","21","21q22.3","P78563","q"
"417","ADARB2","ADARB2","10","10p15.3","Q9NS39","p"
"418","ADARB2-AS1","ADARB2-AS1","10","10p15.3","A8MUL3","p"
"419","ADAT1","ADAT1","16","16q23.1","Q9BUB4","q"
"420","ADAT2","ADAT2","6","6q24.2","Q7Z6V5","q"
"421","ADAT3","ADAT3","19","19p13.3","Q96EY9","p"
"422","ADCK1","ADCK1","14","14q24.3","Q86TW2","q"
